FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,Tor%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Wes Iwundu,Orl,F,25.23,45,18,37.5,13.1,7.7,76,0.816,126,0.444,67,0.313,0.453,0.523,5.3,2.5,7.4,1,7.9,0.56,0.24,0.42,5.3,110.6,105.3
Wesley Matthews,Mil,G,33.41,62,24.7,51.4,12.7,8.7,63,0.762,124,0.468,277,0.365,0.522,0.545,7.5,2.6,5.2,1.5,7.4,0.58,0.15,0.66,5,108.5,101.3
Will Barton,Den,G,29.18,58,33,68.8,20.1,9.9,135,0.77,450,0.498,288,0.375,0.523,0.549,15.1,6.3,10.6,3.7,16,1.07,0.5,1.52,8.6,112.1,106.5
William Howard,Hou,F-G,26.38,2,6.7,13.9,15.5,20,0,0,0,0,4,0,0,0,0,1,7.9,0.5,8.8,0,0,0.5,0,13.9,107.8
Willie Cauley-Stein,Gol,C,26.57,41,22.9,47.8,14.4,11,57,0.614,257,0.56,0,0,0.56,0.573,7.9,6.2,14.7,1.5,9.9,1.12,1.22,0.85,7.3,114,103.2
Willie Cauley-Stein,Dal,C,26.57,13,12.1,25.2,14.7,9.3,9,0.556,44,0.705,1,0,0.689,0.684,5.2,4.6,20,0.8,9.6,0.31,0.85,0.38,8.8,134.6,96.5
Willy Hernangomez,Cha,C-F,25.79,31,12.1,25.2,22.9,15.4,59,0.627,117,0.59,22,0.227,0.55,0.576,6.1,4.4,19.6,0.9,13.5,0.32,0.23,0.97,9.6,109.5,103.7
Wilson Chandler,Bro,F,32.84,35,21,43.7,12.9,15,23,0.87,62,0.597,121,0.306,0.505,0.531,5.9,4.2,10.2,1.1,7.4,0.46,0.34,0.97,5.7,99.2,99.9
Yogi Ferrell,Sac,G,26.84,44,11,22.9,18.9,11.9,37,0.865,100,0.48,69,0.275,0.453,0.499,4.2,1.1,5.6,1.3,17.5,0.32,0.09,0.57,6.6,102.9,110.3
Yuta Watanabe,Mem,G-F,25.41,16,6.2,12.8,14.6,5.8,8,0.375,21,0.429,8,0.375,0.466,0.461,1.9,1.1,9,0.3,5.3,0.25,0.06,0.13,5.5,100.5,105.7
Zach Collins,Por,F-C,22.31,3,28.8,60,13.6,21.7,6,1,12,0.5,7,0.429,0.553,0.624,9,4,7.2,2,9.1,0,0.67,2,5.8,111.5,107.7
Zach LaVine,Chi,G-F,25.01,60,34.8,72.4,31.7,13.3,334,0.802,716,0.496,484,0.38,0.526,0.568,25.5,4.8,7.7,4.2,21.7,1.45,0.47,3.43,9.2,106.5,108.4
Zach Norvell Jr.,Lal,G-F,22.26,2,2.5,5.1,8.6,0,0,0,1,0,0,0,0,0,0,0.5,11.1,0,0,0,0,0,0,,
Zach Norvell Jr.,Gol,G-F,22.26,3,12,25,17.1,20.8,1,1,3,0,8,0.375,0.409,0.437,3.3,1.7,7.5,1,11.7,0.67,0,1,5.9,77.9,104.2
Zhaire Smith,Phi,G,20.77,7,4.6,9.6,19.7,13.6,4,0.5,8,0.375,3,0,0.273,0.313,1.1,0.3,3.4,0.3,8.2,0.43,0,0.29,4,64.6,96.8
Zion Williamson,Nor,F,19.68,19,29.7,61.9,29.7,12.4,152,0.645,279,0.595,13,0.462,0.599,0.624,23.6,6.8,12,2.2,12.6,0.84,0.47,2.68,9.5,115.2,110.1
Zylan Cheatham,Nor,F,24.32,3,10.2,21.3,10.6,37.5,0,0,4,0.5,1,0,0.4,0.4,1.3,2,10.3,0.7,8,0,0.33,1,4.8,66.7,99.6
