FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,Tor%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Jared Dudley,Bro,F,33.93,4,20.6,42.8,8.3,23.9,4,1,2,0.5,9,0.222,0.364,0.47,3,0.5,1.3,2.8,17.5,0.75,0.25,1,3.1,101,103.4
Jarell Martin,Orl,F,25.06,3,6.1,12.6,24,0,2,0,2,1,7,0.286,0.556,0.506,3.3,0.7,6,0.3,12.2,0,0.33,0,5.8,106.6,110.1
Jarred Vanderbilt,Den,F,20.2,3,1.6,3.4,0,,0,0,0,0,0,0,,,0,0.3,10.7,0,0,0,0.33,0,0,,
Jarrett Allen,Bro,C,21.15,5,22,45.9,18,16.4,20,0.85,32,0.594,0,0,0.594,0.674,11,6.8,15.9,2.2,15.9,0.6,0.6,1.6,10,130.7,100.1
Jaylen Brown,Bos,F,22.64,9,30.4,63.3,18.4,13,30,0.767,47,0.638,40,0.35,0.586,0.624,13.9,5.8,9.7,1.1,6.3,0.67,0.22,1.67,5.9,111.6,99.8
Jayson Tatum,Bos,F,21.28,9,32.8,68.3,21.8,12.2,39,0.744,81,0.481,31,0.323,0.482,0.53,15.2,6.7,10.4,1.9,10,1.11,0.78,2,7.1,100.7,102.9
Jerami Grant,Okc,F,25.26,5,35.2,73.3,12.1,8,13,0.692,20,0.55,20,0.45,0.613,0.634,11.6,5.6,8.6,0.8,3.4,0.6,2,0.8,4.2,125.2,105
Jeremy Lin,Tor,G,30.81,8,3.4,7,26.5,31.7,4,1,7,0.143,2,0.5,0.278,0.418,1.1,0.4,6.2,0.5,21.1,0.13,0,0.63,7.1,,
Jerian Grant,Orl,G,26.68,3,4.7,9.7,36.2,8.7,1,1,3,0.667,7,0,0.2,0.239,1.7,1.3,15.6,1,40.6,0,0,0.33,11.1,62.1,102.5
Jerome Robinson,Lac,G,22.31,5,9.2,19.3,15.3,5.8,5,1,8,0.25,6,0.5,0.464,0.556,3.6,1.2,7.2,1.4,21,0.4,0,0.2,7.9,128.5,107.2
Jimmy Butler,Phi,G-F,29.75,12,35.1,73.1,23,9.6,72,0.875,130,0.515,45,0.267,0.486,0.564,19.4,6.1,9.4,5.2,23.2,1.42,0.58,1.83,9.7,119.4,107.8
JJ Redick,Phi,G,34.97,12,31.3,65.2,17.4,14.2,20,0.85,37,0.486,87,0.414,0.581,0.606,13.4,1.4,2.5,1.6,7.5,0.08,0.25,1.83,4,106.6,108.2
Jodie Meeks,Tor,G,31.81,14,4.8,9.9,22.7,9,3,0.667,16,0.438,13,0.154,0.345,0.363,1.6,0.6,7.5,0.1,2.3,0.29,0.07,0.21,3.8,69.4,97.8
Joe Harris,Bro,G-F,27.77,5,29.9,62.2,15.1,16.2,8,1,22,0.545,21,0.19,0.419,0.473,8.8,4.2,7.2,0.6,2.9,0.6,0,1.8,3.8,89.3,106.5
Joe Ingles,Uta,F,31.7,5,30.1,62.8,12.7,17.8,0,0,8,0.5,29,0.276,0.432,0.432,6.4,4.8,8.4,5,25.9,2.2,0,1.6,7.1,98.6,97.2
Joel Embiid,Phi,F-C,25.25,11,30.4,63.3,30.2,16.8,90,0.822,120,0.467,39,0.308,0.465,0.559,20.2,10.5,18.6,3.4,17.9,0.73,2.27,3.64,11.8,105.4,99
Jon Leuer,Det,F,30.09,1,4.9,10.2,20.9,0,1,0,2,0.5,0,0,0.5,0.41,2,0,0,0,0,0,0,0,0,80.2,96.4
Jonah Bolden,Phi,F,23.45,10,7.9,16.5,15.9,30.2,4,0.5,3,0.333,16,0.25,0.368,0.385,1.6,1.4,9.6,0.3,5,0.2,0.1,0.9,4.4,66.5,97.8
Jonas Jerebko,Gol,F,32.29,16,7.6,15.7,16.7,4.3,6,0.833,23,0.304,19,0.263,0.345,0.381,2.1,2.1,16.2,0.8,13.3,0.06,0.13,0.13,8,105.5,107.6
Jonathan Isaac,Orl,F,21.7,5,27.3,56.9,15.7,10.3,8,0.875,20,0.35,20,0.2,0.325,0.379,6.6,6.2,12.4,0.4,2.5,0.4,1,1,3.7,85,105.4
Jonathon Simmons,Phi,F,29.75,7,7.4,15.4,30.8,15.9,4,0.75,20,0.4,10,0.2,0.367,0.394,3.6,1.3,9.4,0.3,6.1,0.14,0,0.86,6.1,73.4,109.7
Jordan Bell,Gol,F,24.43,15,7,14.7,15.4,5.3,10,0.7,31,0.548,0,0,0.548,0.579,2.7,1.3,10.4,0.7,15.2,0.27,0.47,0.13,7.7,128.6,101.6
Jose Calderon,Det,G,37.71,3,3.2,6.7,0,,0,0,0,0,0,0,,,0,0,0,1.7,66,0.33,0,0,0,,
Juancho Hernangomez,Den,F,23.71,5,2.9,6,12.3,25,0,0,1,0,2,0.5,0.5,0.5,0.6,0.6,10.9,0,0,0,0,0.2,0,,
Kawhi Leonard,Tor,F,27.96,24,39.1,81.6,32,11.1,216,0.884,351,0.536,145,0.379,0.545,0.619,30.5,9.1,12.8,3.9,19.3,1.67,0.71,3.08,10.5,118.9,102.7
Kenneth Faried,Hou,F-C,29.57,6,9.4,19.5,12.2,0,6,0.833,12,0.667,1,1,0.731,0.767,4,3.5,21.1,0.3,5.9,0.33,0,0,6.9,165.2,96.9
Kevin Durant,Gol,F,30.7,12,36.8,76.7,33,12.8,113,0.903,163,0.552,80,0.438,0.586,0.661,32.3,4.9,7.7,4.5,21.6,1.08,1,3.58,9.7,119.7,105.8
Kevon Looney,Gol,F,23.35,21,20.5,42.8,11.9,10.9,29,0.724,93,0.688,0,0,0.688,0.704,7.1,4.5,12.5,1,6.6,0.57,0.52,0.62,6.2,138.9,102.8
Khem Birch,Orl,C,26.71,5,18.3,38.2,13.1,22.2,7,0.857,18,0.556,0,0,0.556,0.617,5.2,6.2,18.5,0.8,7.8,0.2,1,1.2,6.5,112.7,101.1
Khris Middleton,Mil,F,27.84,15,34.4,71.6,21,11.5,52,0.885,109,0.404,92,0.435,0.517,0.567,16.9,6.3,9.2,4.4,19.6,0.6,0,1.93,9,112.9,99.9
Khyri Thomas,Det,G,23.1,3,5,10.5,34.5,0,1,1,8,0.625,4,0.25,0.542,0.563,4.7,0.7,6.7,0,0,0.67,0,0,0,108,106.8
Klay Thompson,Gol,G,29.35,21,39,81.2,22.1,9.1,41,0.902,202,0.465,158,0.443,0.553,0.575,20.7,4.1,6.1,2.1,8.3,1.33,0.71,1.81,5.8,107.3,108.3
Kyle Korver,Uta,G-F,38.24,4,7.5,15.5,14.7,9.7,3,0.667,2,0.5,6,0.333,0.5,0.536,2.5,1.3,8.8,0,0,0,0,0.25,0,102.7,90.6
Kyle Lowry,Tor,G,33.22,24,37.5,78.2,18.4,14.5,81,0.802,133,0.526,145,0.359,0.532,0.576,15,4.9,7.2,6.6,27.5,1.29,0.29,2.21,8.4,116.8,100.1
Kyle O'Quinn,Ind,C,29.22,1,1.6,3.3,28.7,100,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1,0,,
Kyrie Irving,Bos,G,27.23,9,36.7,76.5,29.8,12.5,40,0.9,121,0.421,58,0.31,0.436,0.488,21.3,4.4,6.2,7,35.7,1.33,0.44,3.11,9.5,100.5,104.1
LaMarcus Aldridge,San,F,33.9,7,34.9,72.6,27,4.9,33,0.818,110,0.473,11,0.273,0.467,0.517,20,9.6,14.8,2.7,13.1,0.71,1,1,9.2,112.3,103.8
Landry Shamet,Lac,G,22.26,6,29,60.4,11.7,14.2,10,1,7,0.429,31,0.323,0.474,0.542,7.7,2,3.9,1.7,7.6,1,0,1.17,4.1,104.2,108.4
Langston Galloway,Det,G,27.51,4,27.5,57.2,13.7,5.6,0,0,9,0.222,25,0.36,0.456,0.456,7.8,3.8,6.9,1,5.3,0.5,1,0.5,4.5,97.5,104.5
Lonnie Walker IV,San,G,20.5,6,3.5,7.3,17.6,0,0,0,7,0.429,1,0,0.375,0.375,1,0.3,5.1,0.5,21.1,0,0,0,6.1,,
Lou Williams,Lac,G,32.63,6,29.4,61.2,32.6,12.9,41,0.829,86,0.453,18,0.333,0.462,0.533,21.7,2.8,5.4,7.7,45.4,0.83,0.17,3,10.6,110.6,109.4
Luke Kennard,Det,G,22.97,4,33.2,69.1,16.6,5.7,6,0.833,32,0.438,15,0.6,0.585,0.604,15,4,6.1,1.8,8.7,0.75,0.25,0.75,5.7,119.9,109.2
